number,name,party,address,image
31,יעל גרמן,יש עתיד,הרצליה,http://yeshatid.org.il/wp-content/uploads/2012/11/german.jpg
34,רונן הופמן,יש עתיד,הרצליה,http://upload.wikimedia.org/wikipedia/he/c/ce/Ronenhofman.jpg
47,בועז טופורובסקי,יש עתיד,תל אביב,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Boaz_Toporovsky.JPG/200px-Boaz_Toporovsky.JPG
56,מאיר כהן,יש עתיד,דימונה,http://yeshatid.org.il/wp-content/uploads/2012/11/candidate_image5.jpg
60,עליזה לביא,יש עתיד,נתניה,http://upload.wikimedia.org/wikipedia/he/thumb/9/97/Alizalaviewiki.jpg/250px-Alizalaviewiki.jpg
64,מיקי לוי,יש עתיד,ירושלים,http://yeshatid.org.il/wp-content/uploads/2012/11/miki.jpg
67,דב ליפמן,יש עתיד,בית שמש,http://www.knesset.gov.il/mk/images/members/Lipman_Dov.jpg
71,יאיר לפיד,יש עתיד,תל אביב,http://www.haaretz.co.il/polopoly_fs/1.642098.1325168484!/image/4271621870.jpg_gen/derivatives/landscape_300/4271621870.jpg
88,שמעון סולומון,יש עתיד,אשדוד,http://yeshatid.org.il/wp-content/uploads/2012/11/candidate_image6.jpg
91,שי פירון,יש עתיד,אורנית,http://yeshatid.org.il/wp-content/uploads/2012/11/shay.jpg
93,יעקב פרי,יש עתיד,תל אביב,http://yeshatid.org.il/wp-content/uploads/2012/11/perry.jpg
95,רינה פרנקל,יש עתיד,נהריה,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/%D7%97%22%D7%9B_%D7%A8%D7%99%D7%A0%D7%94_%D7%A4%D7%A8%D7%A0%D7%A7%D7%9C.jpg/250px-%D7%97%22%D7%9B_%D7%A8%D7%99%D7%A0%D7%94_%D7%A4%D7%A8%D7%A0%D7%A7%D7%9C.jpg
99,עדי קול,יש עתיד,תל אביב,http://yeshatid.org.il/wp-content/uploads/2012/11/adi.jpg
101,רות קלדרון,יש עתיד,תל אביב,http://www.knesset.gov.il/mk/images/members/Calderon_Ruth.jpg
102,יפעת קריב,יש עתיד,הוד השרון,http://www.nrg.co.il/images/archive/300x225/1/175/124.jpg
107,יואל רזבוזוב,יש עתיד,נתניה,http://yeshatid.org.il/wp-content/uploads/2012/11/yoel-275x300.jpg
115,עפר שלח,יש עתיד,מושב גינתון,http://yeshatid.org.il/wp-content/uploads/2012/11/ofer.jpg
120,פנינה תמנו-שטה,יש עתיד,פתח תקווה,http://www.knesset.gov.il/mk/images/members/Tamnu-Shata_Penina.jpg
4,יצחק אהרונוביץ,ישראל ביתנו,אבן יהודה,http://img.mako.co.il/2009/05/29/32531.jpg
6,שמעון אוחיון,ישראל ביתנו,ראשון לציון,http://www.knesset.gov.il/mk/images/members/Ohayon_Shimon.jpg
10,רוברט אילטוב,ישראל ביתנו,נתניה,http://www.pc.co.il/wp-content/uploads/2011/01/robert300.jpg
63,אורלי לוי-אבקסיס,ישראל ביתנו,קיבוץ מסילות,http://www.beytenu.org.il/wp-content/uploads/2012/06/%D7%90%D7%95%D7%A8%D7%9C%D7%99-%D7%9C%D7%95%D7%99-%D7%90%D7%91%D7%A7%D7%A1%D7%99%D7%A1-%D7%90%D7%AA%D7%A8-%D7%94%D7%9B%D7%A0%D7%A1%D7%AA.jpg
66,אביגדור ליברמן,ישראל ביתנו,נוקדים,http://images.globes.co.il/Images/NewGlobes/bomba200x150/AvigdorLiberman2_200x150.jpg
69,עוזי לנדאו,ישראל ביתנו,רעננה,http://images.globes.co.il/Images/NewGlobes/bomba200x150/0531198-200.jpg
70,סופה לנדבר,ישראל ביתנו,אשדוד,http://img.mako.co.il/2009/05/10/SOFA-LANDVER2_c.jpg
89,חמד עמאר,ישראל ביתנו,שפרעם,http://www.hona.co.il/VIRUF/%D7%A0%D7%A0%D7%A0%D7%A0(2).jpg
100,פאינה (פניה) קירשנבאום,ישראל ביתנו,?,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Faina_Kirschenbaum.jpg/220px-Faina_Kirschenbaum.jpg
106,דוד רותם,ישראל ביתנו,אפרת,http://megafon-news.co.il/asys/wp-content/uploads/2012/06/David_Rotem.jpg
117,יאיר שמיר,ישראל ביתנו,סביון,http://www.news1.co.il/Thumbs/200/NEW-770809352397919.jpg
26,אילן גילאון,מרצ,אשדוד,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Ilan_Gilon3.jpg/200px-Ilan_Gilon3.jpg
27,זהבה גלאון,מרצ,פתח תקווה,http://images.nana10.co.il/upload/mediastock/img/15/0/5/5149.jpg
35,ניצן הורוביץ,מרצ,תל אביב,http://www.news1.co.il/UploadImages/NEW-263286769390107.jpg
43,תמר זנדברג,מרצ,תל אביב,http://www.nrg.co.il/images/archive/465x349/1/470/598.jpg
94,עיסאווי פריג`,מרצ,כפר קסם,http://www.knesset.gov.il/mk/images/members/Farij_Issawi.jpg
104,מיכל רוזין,מרצ,פתח תקווה,http://www.knesset.gov.il/mk/images/members/Rozin_Michal.jpg
46,ישראל חסון,קדימה,טבעון,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Israel_hasson.JPG/220px-Israel_hasson.JPG
74,שאול מופז,קדימה,?,http://www.bts-security.com/wp-content/uploads/2012/04/mofaz_shaul.jpg
1,טלב אבו עראר,"רע""ם תע""ל",ערערה,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Talab_Abu_Arar.jpg/200px-Talab_Abu_Arar.jpg
29,מסעוד גנאים,"רע""ם תע""ל",סח'נין,http://upload.wikimedia.org/wikipedia/he/thumb/f/f3/Ghanayim.JPG/200px-Ghanayim.JPG
48,אחמד טיבי,"רע""ם תע""ל",טייבה,http://www.haaretz.co.il/polopoly_fs/1.1619226.1326793344!/image/3066886301.jpg_gen/derivatives/landscape_300/3066886301.jpg
98,אברהים צרצור,"רע""ם תע""ל",כפר קסם,http://upload.wikimedia.org/wikipedia/he/thumb/8/86/Sheik_Ibrahim_(28).JPG/250px-Sheik_Ibrahim_(28).JPG
7,דוד אזולאי,"ש""ס",עכו,http://www.datili.co.il/files_media/c2bb8626ea49aa7f3c2f847454047214.jpg
33,אריה דרעי,"ש""ס",ירושלים,http://images1.ynet.co.il/PicServer2/24012010/2661809/zzz_s.jpg
39,יצחק וקנין,"ש""ס",מושב יערה,http://shas.org.il/Items/03177/%D7%99%D7%A6%D7%97%D7%A7%20%D7%95%D7%A7%D7%A0%D7%99%D7%9F.JPG
40,נסים זאב,"ש""ס",ירושלים,http://www.knesset.gov.il/mk/images/members/zeev_nissim.jpg
52,אליהו ישי,"ש""ס",ירושלים,http://www.nrg.co.il/images/archive/300x225/1/024/824.jpg
54,אמנון כהן,"ש""ס",רחובות,http://images.globes.co.il/Images/NewGlobes/bomba200x150/153880-200.jpg
55,יצחק כהן,"ש""ס",אשקלון,http://www.nrg.co.il/images/archive/300x225/1/002/268.jpg
76,אברהם מיכאלי,"ש""ס",אור יהודה,http://images.globes.co.il/Images/NewGlobes/bomba200x150/c12_avram-220.jpg
80,יעקב מרגי,"ש""ס",מושב שדה צבי,http://www.news1.co.il/Uploadimages/NEWS1-13-354101836681366.jpg
82,משולם נהרי,"ש""ס",ירושלים,http://www.knesset.gov.il/mk/images/members/nahari_meshulam.jpg
